,Loyalty Number,Salary,CLV,Salary_Was_Imputed,Male_Enc,Marital_Enc,Education_Enc,Card_Enc,Promo_Enroll,Tenure_At_Cutoff,Churn,Total_Flights,Total_Distance,Total_Points_Acc,Total_Points_Red,Active_Months,Max_Flights_Month,Total_Months,Avg_Flights_Month,Activity_Rate,Redemption_Ratio,Avg_Distance_Per_Flight,Months_Since_Last_Flight,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4
31,403361,70222.0,3895.03,0,1,0,2,0,0,2,0,3,6183,6183.0,0,1,3,12,0.25,0.08333333333333333,0.0,2061.0,1.0,0,0,0,3
32,543918,40736.0,3896.57,0,1,1,0,0,0,61,0,30,41922,41922.0,1987,10,4,12,2.5,0.8333333333333334,0.04739754782691665,1397.4,0.0,7,4,12,7
34,119200,69835.0,3903.8,0,0,2,2,0,0,7,0,10,14956,14956.0,0,4,5,12,0.8333333333333334,0.3333333333333333,0.0,1495.6,0.0,0,5,1,4
35,238119,75980.0,3906.67,0,1,1,2,0,0,55,0,25,38650,38650.0,0,8,5,12,2.0833333333333335,0.6666666666666666,0.0,1546.0,0.0,3,9,5,8
36,730388,73510.0,3907.03,1,1,0,1,0,0,67,0,23,34172,34172.0,0,8,6,12,1.9166666666666667,0.6666666666666666,0.0,1485.7391304347825,0.0,3,7,8,5
37,834891,54460.0,3911.12,0,0,1,2,0,0,9,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
38,127400,73510.0,3914.72,1,0,0,1,0,0,42,0,13,15098,15098.0,528,5,3,12,1.0833333333333333,0.4166666666666667,0.034971519406543916,1161.3846153846155,0.0,3,0,4,6
39,324557,73510.0,3914.72,1,0,0,1,0,0,58,0,16,25904,25904.0,645,8,3,12,1.3333333333333333,0.6666666666666666,0.02489962940086473,1619.0,1.0,1,3,8,4
40,742002,73510.0,3915.8,1,0,0,1,0,0,19,0,13,23503,23503.0,0,4,4,12,1.0833333333333333,0.3333333333333333,0.0,1807.923076923077,2.0,2,7,0,4
41,536567,80697.0,3919.37,0,1,1,2,0,0,19,0,23,28799,28799.0,0,7,6,12,1.9166666666666667,0.5833333333333334,0.0,1252.1304347826087,0.0,1,3,12,7
42,704835,80697.0,3919.37,0,1,1,2,0,0,15,0,18,26459,26459.0,963,7,3,12,1.5,0.5833333333333334,0.036395933330813715,1469.9444444444443,0.0,3,3,4,8
43,733338,80697.0,3919.37,0,0,1,2,0,0,18,1,3,4497,4497.0,0,1,3,12,0.25,0.08333333333333333,0.0,1499.0,11.0,3,0,0,0
46,612905,73510.0,3920.51,1,0,1,1,0,0,34,0,17,26824,26824.0,569,7,4,12,1.4166666666666667,0.5833333333333334,0.021212347151804353,1577.8823529411766,1.0,3,3,7,4
47,679908,77601.0,3921.02,0,0,1,2,0,0,28,0,24,39398,39398.0,535,9,5,12,2.0,0.75,0.013579369511142697,1641.5833333333333,1.0,6,11,5,2
48,704150,77601.0,3921.02,0,1,1,2,0,0,38,0,19,23665,23665.0,409,8,5,12,1.5833333333333333,0.6666666666666666,0.017282907246989224,1245.5263157894738,0.0,5,8,2,4
49,869743,73236.0,3924.42,0,0,0,2,0,0,13,1,15,16548,16548.0,0,5,5,12,1.25,0.4166666666666667,0.0,1103.2,5.0,4,8,3,0
50,596179,50879.0,3933.81,0,0,0,2,0,0,45,0,30,51941,51941.0,0,9,5,12,2.5,0.75,0.0,1731.3666666666666,2.0,12,9,5,4
51,370450,62160.0,3934.1,0,0,1,0,0,0,61,0,16,20586,20586.0,1382,6,4,12,1.3333333333333333,0.5,0.06713300301175557,1286.625,0.0,5,2,1,8
52,501030,93541.0,3934.71,0,1,1,2,0,0,9,0,17,19608,19608.0,0,7,4,12,1.4166666666666667,0.5833333333333334,0.0,1153.4117647058824,0.0,0,4,3,10
53,878633,163974.0,3936.79,0,0,1,4,0,0,48,0,27,34014,34014.0,0,7,6,12,2.25,0.5833333333333334,0.0,1259.7777777777778,0.0,7,10,7,3
54,285938,75827.0,3939.01,0,0,1,2,0,0,39,0,22,34494,34494.0,0,8,4,12,1.8333333333333333,0.6666666666666666,0.0,1567.909090909091,0.0,6,5,2,9
55,588237,75827.0,3939.01,0,1,1,2,0,0,49,0,23,22941,22941.0,939,8,5,12,1.9166666666666667,0.6666666666666666,0.04093108408526219,997.4347826086956,1.0,3,11,2,7
56,645280,75827.0,3939.01,0,1,1,2,0,0,60,0,26,28662,28662.0,813,9,6,12,2.1666666666666665,0.75,0.028365082687879423,1102.3846153846155,1.0,2,11,10,3
58,124678,152955.0,3954.34,0,1,1,4,0,0,54,0,26,42652,42652.0,304,9,6,12,2.1666666666666665,0.75,0.007127450060958455,1640.4615384615386,1.0,5,9,7,5
59,186015,152955.0,3954.34,0,1,1,4,0,0,27,0,16,26002,26002.0,0,5,6,12,1.3333333333333333,0.4166666666666667,0.0,1625.125,0.0,4,6,3,3
61,589580,152955.0,3954.34,0,1,1,4,0,0,28,0,27,49010,49010.0,718,8,5,12,2.25,0.6666666666666666,0.014650071413997143,1815.1851851851852,0.0,9,7,5,6
62,623688,152955.0,3954.34,0,0,1,4,0,0,19,0,28,48235,48235.0,690,9,5,12,2.3333333333333335,0.75,0.0143049652741785,1722.6785714285713,0.0,8,7,7,6
63,256147,73510.0,3958.0,1,0,1,1,0,0,63,0,26,42247,42247.0,339,9,6,12,2.1666666666666665,0.75,0.008024238407460884,1624.8846153846155,0.0,5,8,9,4
64,329382,73510.0,3961.59,1,1,0,1,0,0,64,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
65,140392,96814.0,3963.39,0,0,1,2,0,0,53,0,15,15254,15254.0,567,7,4,12,1.25,0.5833333333333334,0.03717057820899436,1016.9333333333333,2.0,2,2,7,4
66,230908,217538.0,3964.15,0,1,2,4,0,0,67,0,29,43406,43406.0,822,9,5,12,2.4166666666666665,0.75,0.018937474081924158,1496.7586206896551,0.0,4,12,6,7
67,972581,48744.0,3964.53,0,1,1,0,0,0,22,0,16,20391,20391.0,639,8,3,12,1.3333333333333333,0.6666666666666666,0.03133735471531558,1274.4375,1.0,6,3,4,3
69,910875,84914.0,3966.13,0,0,1,2,0,0,61,0,8,18109,18109.0,0,4,3,12,0.6666666666666666,0.3333333333333333,0.0,2263.625,5.0,7,0,1,0
70,501704,73510.0,3974.86,1,1,2,1,0,0,55,0,18,16769,16769.0,2034,5,5,12,1.5,0.4166666666666667,0.12129524718230067,931.6111111111111,0.0,7,0,9,2
71,529098,73510.0,3974.86,1,0,2,1,0,0,2,0,5,6230,6230.0,467,1,5,12,0.4166666666666667,0.08333333333333333,0.07495987158908507,1246.0,0.0,0,0,0,5
73,567875,102457.0,3979.72,0,0,1,2,0,0,7,0,4,9037,9037.0,0,3,2,12,0.3333333333333333,0.25,0.0,2259.25,0.0,0,1,2,1
74,688524,103862.0,3980.42,0,0,1,2,0,0,57,0,11,15613,15613.0,1993,5,4,12,0.9166666666666666,0.4166666666666667,0.12765003522705437,1419.3636363636363,0.0,5,0,0,6
75,269070,93153.0,3985.32,0,1,1,3,0,0,59,0,28,35858,35858.0,673,11,4,12,2.3333333333333335,0.9166666666666666,0.01876847565396843,1280.642857142857,0.0,8,6,10,4
76,387705,93153.0,3985.32,0,0,1,3,0,0,56,0,20,30308,30308.0,472,6,5,12,1.6666666666666667,0.5,0.015573445954863402,1515.4,1.0,3,2,8,7
77,923293,86793.0,3985.55,0,1,2,2,0,0,18,0,32,36863,36863.0,412,10,6,12,2.6666666666666665,0.8333333333333334,0.01117651846024469,1151.96875,0.0,5,8,15,4
78,283314,72127.0,3991.73,0,0,1,2,0,0,56,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
79,322102,73510.0,3992.58,1,1,1,1,0,0,52,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
81,654748,65721.0,3996.77,0,0,1,2,0,0,8,1,12,16433,16433.0,0,5,4,12,1.0,0.4166666666666667,0.0,1369.4166666666667,0.0,0,1,4,7
83,114835,101354.0,4001.52,0,0,2,3,0,0,5,0,8,11280,11280.0,0,4,3,12,0.6666666666666666,0.3333333333333333,0.0,1410.0,0.0,0,0,1,7
84,328936,53118.0,4005.72,0,0,1,2,0,0,33,0,27,30411,30411.0,906,9,6,12,2.25,0.75,0.02979185163263293,1126.3333333333333,0.0,5,2,12,8
85,845864,115440.0,4013.85,0,0,1,4,0,0,56,0,26,32118,32118.0,1376,8,6,12,2.1666666666666665,0.6666666666666666,0.04284202005106171,1235.3076923076924,2.0,5,14,6,1
86,645265,73313.0,4013.95,0,1,1,2,0,0,57,0,17,27182,27182.0,0,8,4,12,1.4166666666666667,0.6666666666666666,0.0,1598.9411764705883,0.0,5,6,2,4
87,223587,100167.0,4013.96,0,0,1,2,0,0,4,0,10,18618,18618.0,554,4,4,12,0.8333333333333334,0.3333333333333333,0.029756149962401977,1861.8,0.0,0,0,2,8
88,158560,59262.0,4014.45,0,1,1,2,0,0,24,0,15,22952,22952.0,1250,6,3,12,1.25,0.5,0.05446148483792262,1530.1333333333334,0.0,4,3,5,3
89,417584,59262.0,4014.45,0,1,1,2,0,0,43,0,19,31357,31357.0,607,6,6,12,1.5833333333333333,0.5,0.019357719169563414,1650.3684210526317,2.0,4,6,7,2
90,566033,73510.0,4015.21,1,1,1,1,0,0,30,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
91,425854,39079.0,4016.13,0,0,1,0,0,0,13,0,22,34662,34662.0,630,7,5,12,1.8333333333333333,0.5833333333333334,0.018175523628180718,1575.5454545454545,0.0,3,7,9,3
92,174896,73510.0,4016.54,1,0,0,1,0,0,32,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
93,695855,73510.0,4019.38,1,0,2,1,0,0,56,0,15,24299,24299.0,436,9,5,12,1.25,0.75,0.017943125231491008,1619.9333333333334,1.0,7,2,4,2
94,699511,73510.0,4019.38,1,0,2,1,0,0,41,0,20,30672,30672.0,0,7,5,12,1.6666666666666667,0.5833333333333334,0.0,1533.6,1.0,6,3,9,2
95,377322,62518.0,4023.81,0,0,1,2,0,0,19,0,27,55363,55363.0,1059,8,6,12,2.25,0.6666666666666666,0.019128298683236095,2050.4814814814813,0.0,2,13,7,5
96,511053,62518.0,4023.81,0,1,1,2,0,0,33,0,15,25061,25061.0,802,6,4,12,1.25,0.5,0.03200191532660309,1670.7333333333333,0.0,5,4,2,4
97,890753,73510.0,4025.1,1,1,1,1,0,0,3,0,5,10400,10400.0,723,1,5,12,0.4166666666666667,0.08333333333333333,0.06951923076923076,2080.0,0.0,0,0,0,5
98,796670,47536.0,4035.68,0,0,1,2,0,0,46,0,30,47222,47222.0,420,9,6,12,2.5,0.75,0.008894159501927068,1574.0666666666666,0.0,4,10,10,6
99,556136,73510.0,4035.77,1,0,1,1,0,0,11,0,18,17599,17599.0,521,8,6,12,1.5,0.6666666666666666,0.029603954770157394,977.7222222222222,0.0,2,5,10,1
100,513081,98320.0,4037.5,0,0,1,2,0,0,25,0,12,22756,22756.0,995,7,3,12,1.0,0.5833333333333334,0.04372473193882932,1896.3333333333333,0.0,1,4,2,5
101,930718,63577.0,4037.55,0,0,1,0,0,0,29,0,26,29787,29787.0,1088,9,4,12,2.1666666666666665,0.75,0.03652600127572431,1145.6538461538462,0.0,2,9,10,5
102,235872,89057.0,4046.94,0,0,0,4,0,0,57,0,26,41976,41976.0,1221,7,6,12,2.1666666666666665,0.5833333333333334,0.02908805031446541,1614.4615384615386,0.0,8,6,4,8
103,881142,89057.0,4046.94,0,0,0,4,0,0,15,1,9,9859,9859.0,870,5,2,12,0.75,0.4166666666666667,0.08824424383811745,1095.4444444444443,7.0,5,4,0,0
104,295147,99814.0,4048.16,0,1,1,2,0,0,7,0,15,23429,23429.0,968,5,5,12,1.25,0.4166666666666667,0.04131631738443809,1561.9333333333334,2.0,0,5,8,2
105,306110,64587.0,4053.37,0,1,1,2,0,0,55,0,10,14465,14465.0,797,5,4,12,0.8333333333333334,0.4166666666666667,0.055098513653646736,1446.5,0.0,4,2,0,4
106,295217,67411.0,4059.57,0,0,2,4,0,0,18,0,10,19259,19259.0,1034,5,4,12,0.8333333333333334,0.4166666666666667,0.05368918427748066,1925.9,0.0,5,1,3,1
107,591731,51370.0,4064.18,0,1,1,2,0,0,51,0,24,39625,39625.0,645,10,4,12,2.0,0.8333333333333334,0.016277602523659306,1651.0416666666667,2.0,8,7,8,1
108,326905,73510.0,4068.09,1,0,1,1,0,0,10,0,19,24066,24066.0,0,6,5,12,1.5833333333333333,0.5,0.0,1266.6315789473683,2.0,0,10,7,2
109,375511,59300.0,4070.05,0,0,0,2,0,0,41,0,26,36951,36951.0,1084,9,6,12,2.1666666666666665,0.75,0.029336147871505507,1421.1923076923076,0.0,2,3,12,9
110,485283,102479.0,4072.85,0,1,0,2,0,0,3,0,2,3106,3106.0,0,2,1,12,0.16666666666666666,0.16666666666666666,0.0,1553.0,1.0,0,0,0,2
111,797685,73510.0,4079.13,1,1,1,1,0,0,6,0,10,11302,11302.0,822,4,4,12,0.8333333333333334,0.3333333333333333,0.07273049017872943,1130.2,0.0,0,0,4,6
112,216467,90995.0,4083.56,0,1,1,4,0,0,41,0,14,23278,23278.0,0,7,5,12,1.1666666666666667,0.5833333333333334,0.0,1662.7142857142858,0.0,1,6,2,5
114,539673,49558.0,4087.51,0,0,1,2,0,0,34,1,22,30575,30575.0,498,8,5,12,1.8333333333333333,0.6666666666666666,0.016287816843826654,1389.7727272727273,0.0,11,2,2,7
116,484718,76367.0,4089.46,0,1,0,2,0,0,66,0,17,33867,33867.0,554,7,4,12,1.4166666666666667,0.5833333333333334,0.016358106711548116,1992.1764705882354,2.0,2,6,7,2
117,528492,60360.0,4090.75,0,1,1,2,0,0,30,1,23,48972,48972.0,821,8,4,12,1.9166666666666667,0.6666666666666666,0.016764681859021482,2129.217391304348,0.0,10,1,4,8
118,995091,55454.0,4095.2,0,0,1,2,0,0,3,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
119,632793,60370.0,4097.37,0,0,0,0,0,0,18,0,17,15913,15913.0,506,8,4,12,1.4166666666666667,0.6666666666666666,0.03179790108716144,936.0588235294117,0.0,0,4,8,5
120,912220,60370.0,4097.37,0,1,0,0,0,0,52,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
121,382197,69367.0,4100.47,0,1,1,2,0,0,2,1,1,768,768.0,0,1,1,12,0.08333333333333333,0.08333333333333333,0.0,768.0,1.0,0,0,0,1
122,705196,73510.0,4101.94,1,0,0,1,0,0,49,0,28,49630,49630.0,0,9,6,12,2.3333333333333335,0.75,0.0,1772.5,2.0,5,8,13,2
124,119488,73510.0,4108.26,1,0,0,1,0,0,6,0,13,13658,13658.0,0,4,4,12,1.0833333333333333,0.3333333333333333,0.0,1050.6153846153845,0.0,0,0,4,9
125,287750,73510.0,4109.31,1,0,0,1,0,0,64,0,19,27901,27901.0,1213,8,5,12,1.5833333333333333,0.6666666666666666,0.04347514426006236,1468.4736842105262,0.0,6,5,6,2
126,735846,95318.0,4109.79,0,1,1,2,0,0,64,0,6,6373,6373.0,1197,4,3,12,0.5,0.3333333333333333,0.18782363094304094,1062.1666666666667,0.0,1,1,3,1
127,606026,55207.0,4110.62,0,1,0,2,0,0,29,0,27,40394,40394.0,504,11,6,12,2.25,0.9166666666666666,0.012477100559489033,1496.0740740740741,0.0,3,7,10,7
128,460291,55476.0,4111.2,0,0,2,2,0,0,27,0,18,34272,34272.0,0,6,5,12,1.5,0.5,0.0,1904.0,0.0,10,2,0,6
129,743001,79533.0,4111.89,0,0,1,2,0,0,7,0,8,10682,10682.0,393,2,5,12,0.6666666666666666,0.16666666666666666,0.036790863134244525,1335.25,1.0,0,5,0,3
130,869799,79533.0,4111.89,0,0,1,2,0,0,33,0,7,7485,7485.0,0,3,3,12,0.5833333333333334,0.25,0.0,1069.2857142857142,1.0,2,0,2,3
131,520321,237245.0,4112.84,0,0,1,4,0,0,27,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
132,279419,73510.0,4117.37,1,0,0,1,0,0,53,0,41,69113,69113.0,1354,9,9,12,3.4166666666666665,0.75,0.019591104423191005,1685.6829268292684,1.0,7,4,21,9
133,170585,82675.0,4118.59,0,1,0,2,0,0,52,0,17,27484,27484.0,405,7,6,12,1.4166666666666667,0.5833333333333334,0.014735846310580702,1616.7058823529412,2.0,5,5,6,1
134,188340,82675.0,4118.59,0,1,0,2,0,0,8,0,20,21772,21772.0,992,6,5,12,1.6666666666666667,0.5,0.0455631085798273,1088.6,0.0,0,6,4,10
135,670817,82675.0,4118.59,0,1,0,2,0,0,12,0,21,30421,30421.0,682,8,4,12,1.75,0.6666666666666666,0.02241872390782683,1448.6190476190477,0.0,4,6,6,5
136,509513,73510.0,4121.25,1,1,0,1,0,0,60,0,25,51305,51305.0,576,8,6,12,2.0833333333333335,0.6666666666666666,0.011226975928272098,2052.2,0.0,4,0,11,10
137,779247,86987.0,4122.57,0,1,1,2,0,0,63,0,25,30732,30732.0,0,7,6,12,2.0833333333333335,0.5833333333333334,0.0,1229.28,0.0,3,5,11,6
138,111255,70272.0,4122.96,0,1,1,0,0,0,57,0,23,31829,31829.0,0,9,4,12,1.9166666666666667,0.75,0.0,1383.8695652173913,0.0,4,1,10,8
139,763061,56845.0,4126.61,0,1,1,2,0,0,44,0,11,21633,21633.0,515,4,6,12,0.9166666666666666,0.3333333333333333,0.023806221975685295,1966.6363636363637,0.0,2,0,8,1
140,428919,58209.0,4139.9,0,0,2,2,0,0,29,0,16,24503,24503.0,0,7,4,12,1.3333333333333333,0.5833333333333334,0.0,1531.4375,0.0,8,0,4,4
141,139863,67223.0,4142.56,0,1,1,2,0,0,26,0,16,33709,33709.0,857,6,5,12,1.3333333333333333,0.5,0.025423477409593876,2106.8125,2.0,3,5,5,3
142,695755,79088.0,4144.87,0,0,1,2,0,0,68,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
143,355331,73510.0,4145.02,1,1,2,1,0,0,53,0,31,42129,42129.0,1915,10,5,12,2.5833333333333335,0.8333333333333334,0.045455624391749154,1359.0,1.0,8,10,8,5
144,578837,73510.0,4152.65,1,1,0,1,0,0,67,0,21,30059,30059.0,704,10,4,12,1.75,0.8333333333333334,0.02342060614125553,1431.3809523809523,0.0,4,8,4,5
145,603248,73510.0,4157.7,1,1,1,1,0,0,22,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
146,467182,102347.0,4160.02,0,0,1,2,0,0,48,1,22,34096,34096.0,0,7,5,12,1.8333333333333333,0.5833333333333334,0.0,1549.8181818181818,2.0,7,9,5,1
147,601407,72809.0,4165.17,0,1,1,2,0,0,27,0,11,13832,13832.0,0,3,5,12,0.9166666666666666,0.25,0.0,1257.4545454545455,5.0,1,5,5,0
148,700871,74567.0,4165.25,0,0,1,2,0,0,24,0,24,30458,30458.0,0,9,5,12,2.0,0.75,0.0,1269.0833333333333,0.0,6,2,8,8
149,203809,54160.0,4165.35,0,0,1,0,0,0,65,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
150,705589,73510.0,4165.99,1,0,0,1,0,0,67,0,27,42659,42659.0,0,9,5,12,2.25,0.75,0.0,1579.962962962963,0.0,7,7,5,8
152,746060,73510.0,4167.09,1,1,1,1,0,0,44,0,27,40740,40740.0,421,10,5,12,2.25,0.8333333333333334,0.010333824251350024,1508.888888888889,0.0,1,8,11,7
153,469718,73544.0,4167.42,0,1,1,2,0,0,59,0,21,21161,21161.0,584,8,6,12,1.75,0.6666666666666666,0.027597939605878738,1007.6666666666666,0.0,4,3,11,3
154,164429,57852.0,4169.36,0,0,0,2,0,0,63,0,26,34731,34731.0,890,8,5,12,2.1666666666666665,0.6666666666666666,0.02562552186807175,1335.8076923076924,1.0,8,10,5,3
155,708373,57852.0,4169.36,0,0,0,2,0,0,9,0,19,24055,24055.0,0,6,6,12,1.5833333333333333,0.5,0.0,1266.0526315789473,1.0,0,8,8,3
156,225088,97991.0,4170.34,0,1,1,2,0,0,27,0,16,26880,26880.0,0,5,5,12,1.3333333333333333,0.4166666666666667,0.0,1680.0,0.0,1,0,9,6
157,100214,63253.0,4170.57,0,1,1,2,0,0,28,0,10,18186,18186.0,861,4,3,12,0.8333333333333334,0.3333333333333333,0.04734411085450346,1818.6,0.0,2,0,2,6
158,459999,53465.0,4170.69,0,1,0,2,0,0,3,0,6,10938,10938.0,0,2,3,12,0.5,0.16666666666666666,0.0,1823.0,1.0,0,0,0,6
159,553936,53465.0,4170.69,0,0,0,2,0,0,36,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
160,268128,47663.0,4177.88,0,0,1,0,0,0,59,0,19,22571,22571.0,992,8,5,12,1.5833333333333333,0.6666666666666666,0.04395020158610607,1187.9473684210527,1.0,10,5,1,3
161,930584,73510.0,4185.76,1,1,0,1,0,0,29,0,17,22099,22099.0,468,7,6,12,1.4166666666666667,0.5833333333333334,0.021177428842934068,1299.9411764705883,0.0,4,2,7,4
162,327796,73510.0,4191.06,1,1,0,1,0,0,6,0,6,13630,13630.0,0,2,4,12,0.5,0.16666666666666666,0.0,2271.6666666666665,1.0,0,0,4,2
163,947467,49937.0,4196.43,0,0,1,2,0,0,34,0,17,26908,26908.0,0,6,4,12,1.4166666666666667,0.5,0.0,1582.8235294117646,0.0,5,3,0,9
164,743510,73510.0,4196.65,1,1,0,1,0,0,19,0,8,11922,11922.0,0,3,4,12,0.6666666666666666,0.25,0.0,1490.25,3.0,4,0,4,0
165,580324,61113.0,4198.03,0,1,1,2,0,0,54,0,10,20215,20215.0,1089,5,3,12,0.8333333333333334,0.4166666666666667,0.053870887954489244,2021.5,1.0,2,4,2,2
