Loyalty Number,Salary,CLV,Card_Enc,Tenure_At_Cutoff,Promo_Enroll,Total_Flights,Months_Since_Last_Flight,Activity_Rate,Redemption_Ratio,Avg_Flights_Month,Avg_Distance_Per_Flight,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4,Churn,Churn_Prob,Churn_Risk,Segment_ID,Segment_Name,Action_Code,Recommended_Action,Timing
201574,51375.0,3893.31,0,32,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0860680446698809,Low,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
403361,70222.0,3895.03,0,2,0,3,1.0,0.0833333333333333,0.0,0.25,2061.0,0,0,0,3,0,0.8325949922449806,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
543918,40736.0,3896.57,0,61,0,30,0.0,0.8333333333333334,0.0473975478269166,2.5,1397.4,7,4,12,7,0,0.0089528210077989,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
119200,69835.0,3903.8,0,7,0,10,0.0,0.3333333333333333,0.0,0.8333333333333334,1495.6,0,5,1,4,0,0.2685021841807907,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
238119,75980.0,3906.67,0,55,0,25,0.0,0.6666666666666666,0.0,2.083333333333333,1546.0,3,9,5,8,0,0.0075848489225066,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
730388,73510.0,3907.03,0,67,0,23,0.0,0.6666666666666666,0.0,1.9166666666666667,1485.7391304347825,3,7,8,5,0,0.0086354503280333,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
834891,54460.0,3911.12,0,9,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.208380087566717,Medium,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
127400,73510.0,3914.72,0,42,0,13,0.0,0.4166666666666667,0.0349715194065439,1.0833333333333333,1161.3846153846157,3,0,4,6,0,0.0415651447974465,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
324557,73510.0,3914.72,0,58,0,16,1.0,0.6666666666666666,0.0248996294008647,1.3333333333333333,1619.0,1,3,8,4,0,0.0098042512159356,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
742002,73510.0,3915.8,0,19,0,13,2.0,0.3333333333333333,0.0,1.0833333333333333,1807.923076923077,2,7,0,4,0,0.3669822959427182,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
536567,80697.0,3919.37,0,19,0,23,0.0,0.5833333333333334,0.0,1.9166666666666667,1252.1304347826087,1,3,12,7,0,0.0454988825754066,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
704835,80697.0,3919.37,0,15,0,18,0.0,0.5833333333333334,0.0363959333308137,1.5,1469.9444444444443,3,3,4,8,0,0.0453465259081503,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
733338,80697.0,3919.37,0,18,0,3,11.0,0.0833333333333333,0.0,0.25,1499.0,3,0,0,0,1,0.7187287935246223,High,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
612905,73510.0,3920.51,0,34,0,17,1.0,0.5833333333333334,0.0212123471518043,1.4166666666666667,1577.8823529411766,3,3,7,4,0,0.0493068460038672,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
679908,77601.0,3921.02,0,28,0,24,1.0,0.75,0.0135793695111426,2.0,1641.5833333333333,6,11,5,2,0,0.0679946850058305,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
704150,77601.0,3921.02,0,38,0,19,0.0,0.6666666666666666,0.0172829072469892,1.5833333333333333,1245.5263157894738,5,8,2,4,0,0.0318452839365629,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
869743,73236.0,3924.42,0,13,0,15,5.0,0.4166666666666667,0.0,1.25,1103.2,4,8,3,0,1,0.4761494841166397,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
596179,50879.0,3933.81,0,45,0,30,2.0,0.75,0.0,2.5,1731.3666666666666,12,9,5,4,0,0.0739709579747974,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
370450,62160.0,3934.1,0,61,0,16,0.0,0.5,0.0671330030117555,1.3333333333333333,1286.625,5,2,1,8,0,0.0164933598524542,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
501030,93541.0,3934.71,0,9,0,17,0.0,0.5833333333333334,0.0,1.4166666666666667,1153.4117647058824,0,4,3,10,0,0.024218178013269,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
878633,163974.0,3936.79,0,48,0,27,0.0,0.5833333333333334,0.0,2.25,1259.7777777777778,7,10,7,3,0,0.0187545658838711,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
285938,75827.0,3939.01,0,39,0,22,0.0,0.6666666666666666,0.0,1.8333333333333333,1567.909090909091,6,5,2,9,0,0.0166777094006545,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
588237,75827.0,3939.01,0,49,0,23,1.0,0.6666666666666666,0.0409310840852621,1.9166666666666667,997.4347826086956,3,11,2,7,0,0.0146803005357711,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
645280,75827.0,3939.01,0,60,0,26,1.0,0.75,0.0283650826878794,2.1666666666666665,1102.3846153846157,2,11,10,3,0,0.0113266786218258,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
124678,152955.0,3954.34,0,54,0,26,1.0,0.75,0.0071274500609584,2.1666666666666665,1640.4615384615386,5,9,7,5,0,0.002948289859601,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
186015,152955.0,3954.34,0,27,0,16,0.0,0.4166666666666667,0.0,1.3333333333333333,1625.125,4,6,3,3,0,0.0565668706475826,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
589580,152955.0,3954.34,0,28,0,27,0.0,0.6666666666666666,0.0146500714139971,2.25,1815.1851851851848,9,7,5,6,0,0.0161729724630364,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
623688,152955.0,3954.34,0,19,0,28,0.0,0.75,0.0143049652741785,2.333333333333333,1722.678571428571,8,7,7,6,0,0.0161726681625409,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
256147,73510.0,3958.0,0,63,0,26,0.0,0.75,0.0080242384074608,2.1666666666666665,1624.8846153846157,5,8,9,4,0,0.0092968623938315,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
329382,73510.0,3961.59,0,64,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.017274765264396,Low,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
140392,96814.0,3963.39,0,53,0,15,2.0,0.5833333333333334,0.0371705782089943,1.25,1016.9333333333332,2,2,7,4,0,0.0090880444905461,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
230908,217538.0,3964.15,0,67,0,29,0.0,0.75,0.0189374740819241,2.4166666666666665,1496.7586206896551,4,12,6,7,0,0.0003961800317906,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
972581,48744.0,3964.53,0,22,0,16,1.0,0.6666666666666666,0.0313373547153155,1.3333333333333333,1274.4375,6,3,4,3,0,0.1061592930221389,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
910875,84914.0,3966.13,0,61,0,8,5.0,0.3333333333333333,0.0,0.6666666666666666,2263.625,7,0,1,0,0,0.2246424948862627,Medium,3,Stable Regulars,PROACTIVE SAVE,Loyalty challenge: fly 2 more times this quarter for tier upgrade,Start of quarter
501704,73510.0,3974.86,0,55,0,18,0.0,0.4166666666666667,0.1212952471823006,1.5,931.6111111111112,7,0,9,2,0,0.0578283428653236,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
529098,73510.0,3974.86,0,2,0,5,0.0,0.0833333333333333,0.074959871589085,0.4166666666666667,1246.0,0,0,0,5,0,0.437888895654803,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
567875,102457.0,3979.72,0,7,0,4,0.0,0.25,0.0,0.3333333333333333,2259.25,0,1,2,1,0,0.6121359395396606,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
688524,103862.0,3980.42,0,57,0,11,0.0,0.4166666666666667,0.1276500352270543,0.9166666666666666,1419.3636363636365,5,0,0,6,0,0.0166727568211654,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
269070,93153.0,3985.32,0,59,0,28,0.0,0.9166666666666666,0.0187684756539684,2.333333333333333,1280.642857142857,8,6,10,4,0,0.0043118141526748,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
387705,93153.0,3985.32,0,56,0,20,1.0,0.5,0.0155734459548634,1.6666666666666667,1515.4,3,2,8,7,0,0.0120047963520245,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
923293,86793.0,3985.55,0,18,0,32,0.0,0.8333333333333334,0.0111765184602446,2.6666666666666665,1151.96875,5,8,15,4,0,0.0486301060015243,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
283314,72127.0,3991.73,0,56,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0220288693152282,Low,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
322102,73510.0,3992.58,0,52,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0250435618900774,Low,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
654748,65721.0,3996.77,0,8,0,12,0.0,0.4166666666666667,0.0,1.0,1369.4166666666667,0,1,4,7,1,0.1207856149472419,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
114835,101354.0,4001.52,0,5,0,8,0.0,0.3333333333333333,0.0,0.6666666666666666,1410.0,0,0,1,7,0,0.086850049177495,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
328936,53118.0,4005.72,0,33,0,27,0.0,0.75,0.0297918516326329,2.25,1126.3333333333333,5,2,12,8,0,0.0279441162402137,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
845864,115440.0,4013.85,0,56,0,26,2.0,0.6666666666666666,0.0428420200510617,2.1666666666666665,1235.3076923076924,5,14,6,1,0,0.0230650200260569,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
645265,73313.0,4013.95,0,57,0,17,0.0,0.6666666666666666,0.0,1.4166666666666667,1598.9411764705883,5,6,2,4,0,0.0130596184778862,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
223587,100167.0,4013.96,0,4,0,10,0.0,0.3333333333333333,0.0297561499624019,0.8333333333333334,1861.8,0,0,2,8,0,0.1689639066582286,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
158560,59262.0,4014.45,0,24,0,15,0.0,0.5,0.0544614848379226,1.25,1530.1333333333334,4,3,5,3,0,0.1371515511620737,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
417584,59262.0,4014.45,0,43,0,19,2.0,0.5,0.0193577191695634,1.5833333333333333,1650.3684210526317,4,6,7,2,0,0.1034870770823561,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
566033,73510.0,4015.21,0,30,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.066910625653423,Low,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
425854,39079.0,4016.13,0,13,0,22,0.0,0.5833333333333334,0.0181755236281807,1.8333333333333333,1575.5454545454545,3,7,9,3,0,0.2708179710932294,Medium,3,Stable Regulars,PROACTIVE SAVE,Loyalty challenge: fly 2 more times this quarter for tier upgrade,Start of quarter
174896,73510.0,4016.54,0,32,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0787973995238823,Low,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
695855,73510.0,4019.38,0,56,0,15,1.0,0.75,0.017943125231491,1.25,1619.9333333333334,7,2,4,2,0,0.0137564244418196,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
699511,73510.0,4019.38,0,41,0,20,1.0,0.5833333333333334,0.0,1.6666666666666667,1533.6,6,3,9,2,0,0.0606592190842222,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
377322,62518.0,4023.81,0,19,0,27,0.0,0.6666666666666666,0.019128298683236,2.25,2050.4814814814813,2,13,7,5,0,0.0675256635389272,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
511053,62518.0,4023.81,0,33,0,15,0.0,0.5,0.032001915326603,1.25,1670.7333333333331,5,4,2,4,0,0.1003129386518316,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
890753,73510.0,4025.1,0,3,0,5,0.0,0.0833333333333333,0.0695192307692307,0.4166666666666667,2080.0,0,0,0,5,0,0.746060058856315,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
796670,47536.0,4035.68,0,46,0,30,0.0,0.75,0.008894159501927,2.5,1574.0666666666666,4,10,10,6,0,0.0212834047258003,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
556136,73510.0,4035.77,0,11,0,18,0.0,0.6666666666666666,0.0296039547701573,1.5,977.7222222222222,2,5,10,1,0,0.1169452889661388,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
513081,98320.0,4037.5,0,25,0,12,0.0,0.5833333333333334,0.0437247319388293,1.0,1896.3333333333333,1,4,2,5,0,0.0396599099654616,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
930718,63577.0,4037.55,0,29,0,26,0.0,0.75,0.0365260012757243,2.1666666666666665,1145.6538461538462,2,9,10,5,0,0.0425264560739127,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
235872,89057.0,4046.94,0,57,0,26,0.0,0.5833333333333334,0.0290880503144654,2.1666666666666665,1614.4615384615386,8,6,4,8,0,0.0162067873610401,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
881142,89057.0,4046.94,0,15,0,9,7.0,0.4166666666666667,0.0882442438381174,0.75,1095.4444444444443,5,4,0,0,1,0.2669499391159016,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
295147,99814.0,4048.16,0,7,0,15,2.0,0.4166666666666667,0.041316317384438,1.25,1561.9333333333334,0,5,8,2,0,0.2233751312730136,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
306110,64587.0,4053.37,0,55,0,10,0.0,0.4166666666666667,0.0550985136536467,0.8333333333333334,1446.5,4,2,0,4,0,0.0374365027589148,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
295217,67411.0,4059.57,0,18,0,10,0.0,0.4166666666666667,0.0536891842774806,0.8333333333333334,1925.9,5,1,3,1,0,0.3153551961100878,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
591731,51370.0,4064.18,0,51,0,24,2.0,0.8333333333333334,0.0162776025236593,2.0,1651.0416666666667,8,7,8,1,0,0.026637647061243,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
326905,73510.0,4068.09,0,10,0,19,2.0,0.5,0.0,1.5833333333333333,1266.6315789473683,0,10,7,2,0,0.2445410416584763,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
375511,59300.0,4070.05,0,41,0,26,0.0,0.75,0.0293361478715055,2.1666666666666665,1421.1923076923076,2,3,12,9,0,0.0108663575689827,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
485283,102479.0,4072.85,0,3,0,2,1.0,0.1666666666666666,0.0,0.1666666666666666,1553.0,0,0,0,2,0,0.4515685551037577,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
797685,73510.0,4079.13,0,6,0,10,0.0,0.3333333333333333,0.0727304901787294,0.8333333333333334,1130.2,0,0,4,6,0,0.1442420871612488,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
216467,90995.0,4083.56,0,41,0,14,0.0,0.5833333333333334,0.0,1.1666666666666667,1662.7142857142858,1,6,2,5,0,0.0156098590451331,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
539673,49558.0,4087.51,0,34,0,22,0.0,0.6666666666666666,0.0162878168438266,1.8333333333333333,1389.7727272727273,11,2,2,7,1,0.0693195364900538,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
484718,76367.0,4089.46,0,66,0,17,2.0,0.5833333333333334,0.0163581067115481,1.4166666666666667,1992.176470588236,2,6,7,2,0,0.0186950373668677,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
528492,60360.0,4090.75,0,30,0,23,0.0,0.6666666666666666,0.0167646818590214,1.9166666666666667,2129.217391304348,10,1,4,8,1,0.0414599941750036,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
995091,55454.0,4095.2,0,3,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.2544395269812849,Medium,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
632793,60370.0,4097.37,0,18,0,17,0.0,0.6666666666666666,0.0317979010871614,1.4166666666666667,936.0588235294116,0,4,8,5,0,0.0511161853889424,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
912220,60370.0,4097.37,0,52,0,0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.040404060273194,Low,0,Dormant Members,RE-ENGAGE,Push notification: personalised fare deal on top routes,Immediate-before they lapse completely
382197,69367.0,4100.47,0,2,0,1,1.0,0.0833333333333333,0.0,0.0833333333333333,768.0,0,0,0,1,1,0.3177800310975079,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
705196,73510.0,4101.94,0,49,0,28,2.0,0.75,0.0,2.333333333333333,1772.5,5,8,13,2,0,0.0284961718932199,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
119488,73510.0,4108.26,0,6,0,13,0.0,0.3333333333333333,0.0,1.0833333333333333,1050.6153846153843,0,0,4,9,0,0.1314438961073272,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
287750,73510.0,4109.31,0,64,0,19,0.0,0.6666666666666666,0.0434751442600623,1.5833333333333333,1468.4736842105262,6,5,6,2,0,0.0202285258107092,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
735846,95318.0,4109.79,0,64,0,6,0.0,0.3333333333333333,0.1878236309430409,0.5,1062.1666666666667,1,1,3,1,0,0.0135441567214459,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
606026,55207.0,4110.62,0,29,0,27,0.0,0.9166666666666666,0.012477100559489,2.25,1496.074074074074,3,7,10,7,0,0.0130984148178771,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
460291,55476.0,4111.2,0,27,0,18,0.0,0.5,0.0,1.5,1904.0,10,2,0,6,0,0.1679533619094245,Medium,3,Stable Regulars,PROACTIVE SAVE,Loyalty challenge: fly 2 more times this quarter for tier upgrade,Start of quarter
743001,79533.0,4111.89,0,7,0,8,1.0,0.1666666666666666,0.0367908631342445,0.6666666666666666,1335.25,0,5,0,3,0,0.4726741031117727,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
